# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
8.301724375E+00  1.871972046E+02
8.308299998E+00  1.688298492E+02
8.314875621E+00  1.521566010E+02
8.321451244E+00  1.372287140E+02
8.328026868E+00  1.250847702E+02
8.334602491E+00  1.147823715E+02
8.341178114E+00  1.056764908E+02
8.347753737E+00  9.653568268E+01
8.354329361E+00  8.746393585E+01
8.360904984E+00  8.086602783E+01
8.367480607E+00  7.601342773E+01
8.374056230E+00  7.190563202E+01
8.380631854E+00  6.803238678E+01
8.387207477E+00  6.536875916E+01
8.393783100E+00  6.263203430E+01
8.400358724E+00  6.186076355E+01
8.406934347E+00  5.979029083E+01
8.413509970E+00  5.894842911E+01
8.420085593E+00  5.836690521E+01
8.426661217E+00  5.870927811E+01
8.433236840E+00  5.815619659E+01
8.439812463E+00  5.855482483E+01
8.446388086E+00  5.789244461E+01
8.452963710E+00  5.669054031E+01
8.459539333E+00  5.588024521E+01
8.466114956E+00  5.394934845E+01
8.472690579E+00  5.171717453E+01
8.479266203E+00  4.839855957E+01
8.485841826E+00  4.612093735E+01
8.492417449E+00  4.406692505E+01
8.498993073E+00  4.115008545E+01
8.505568696E+00  3.794414902E+01
8.512144319E+00  3.305116272E+01
8.518719942E+00  3.061614418E+01
8.525295566E+00  2.721672440E+01
8.531871189E+00  2.484313965E+01
8.538446812E+00  2.305984306E+01
8.545022435E+00  2.226282692E+01
8.551598059E+00  2.271771812E+01
8.558173682E+00  2.253633499E+01
8.564749305E+00  2.084123421E+01
8.571324928E+00  2.145223999E+01
8.577900552E+00  2.111886787E+01
8.584476175E+00  2.144609642E+01
8.591051798E+00  2.170150375E+01
8.597627422E+00  2.205941010E+01
8.604203045E+00  2.242020416E+01
8.610778668E+00  2.307880974E+01
8.617354291E+00  2.299909210E+01
8.623929915E+00  2.332656097E+01
8.630505538E+00  2.361981010E+01
8.637081161E+00  2.369085121E+01
8.643656784E+00  2.273011589E+01
8.650232408E+00  2.073418427E+01
8.656808031E+00  1.976311493E+01
8.663383654E+00  2.005470276E+01
8.669959277E+00  2.048101997E+01
8.676534901E+00  2.194734001E+01
8.683110524E+00  2.287700653E+01
8.689686147E+00  2.468945122E+01
8.696261771E+00  2.562784386E+01
8.702837394E+00  2.689433861E+01
8.709413017E+00  2.668083000E+01
8.715988640E+00  2.600002098E+01
8.722564264E+00  2.366441917E+01
8.729139887E+00  2.279414749E+01
8.735715510E+00  2.159868622E+01
8.742291133E+00  2.131730461E+01
8.748866757E+00  2.092999458E+01
8.755442380E+00  2.088549805E+01
8.762018003E+00  1.856663895E+01
8.768593626E+00  1.749003601E+01
8.775169250E+00  1.649506187E+01
8.781744873E+00  1.642352676E+01
8.788320496E+00  1.469000435E+01
8.794896120E+00  1.067781258E+01
8.801471743E+00  8.502696991E+00
8.808047366E+00  7.539679050E+00
8.814622989E+00  6.689661980E+00
8.821198613E+00  5.030795097E+00
8.827774236E+00  3.650506735E+00
8.834349859E+00  2.788569689E+00
8.840925482E+00  2.530948877E+00
8.847501106E+00  2.743395329E+00
8.854076729E+00  3.911289930E+00
8.860652352E+00  4.975091934E+00
8.867227975E+00  6.274675846E+00
8.873803599E+00  9.465345383E+00
8.880379222E+00  1.136988544E+01
8.886954845E+00  1.257573128E+01
8.893530469E+00  1.314101791E+01
8.900106092E+00  1.434214687E+01
8.906681715E+00  1.659809494E+01
8.913257338E+00  1.761738777E+01
8.919832962E+00  1.818619347E+01
8.926408585E+00  1.773618507E+01
8.932984208E+00  1.799688530E+01
8.939559831E+00  1.856793594E+01
8.946135455E+00  1.927114677E+01
8.952711078E+00  1.926572800E+01
8.959286701E+00  1.965327644E+01
8.965862324E+00  2.002073860E+01
8.972437948E+00  1.897458839E+01
8.979013571E+00  1.983566093E+01
8.985589194E+00  2.048094177E+01
8.992164818E+00  2.239678764E+01
8.998740441E+00  2.265940666E+01
9.005316064E+00  2.234793282E+01
9.011891687E+00  2.253905487E+01
9.018467311E+00  2.401601028E+01
9.025042934E+00  2.683010483E+01
9.031618557E+00  3.011759758E+01
9.038194180E+00  3.224327087E+01
9.044769804E+00  3.339124298E+01
9.051345427E+00  3.338625336E+01
9.057921050E+00  3.388312149E+01
9.064496673E+00  3.421538162E+01
9.071072297E+00  3.503981018E+01
9.077647920E+00  3.588378143E+01
9.084223543E+00  3.733327484E+01
9.090799167E+00  3.737026215E+01
9.097374790E+00  3.642104721E+01
9.103950413E+00  3.761214066E+01
9.110526036E+00  3.923606110E+01
9.117101660E+00  4.239977646E+01
9.123677283E+00  4.438800049E+01
9.130252906E+00  4.621884155E+01
9.136828529E+00  4.898071671E+01
9.143404153E+00  5.056331253E+01
9.149979776E+00  5.223767471E+01
9.156555399E+00  5.517132187E+01
9.163131022E+00  5.951663971E+01
9.169706646E+00  6.531761169E+01
9.176282269E+00  6.993073273E+01
9.182857892E+00  7.285506439E+01
9.189433516E+00  7.499005127E+01
9.196009139E+00  7.634014893E+01
9.202584762E+00  7.849375916E+01
9.209160385E+00  7.980493164E+01
9.215736009E+00  7.886403656E+01
9.222311632E+00  7.686984253E+01
9.228887255E+00  7.414124298E+01
9.235462878E+00  7.123001862E+01
9.242038502E+00  6.761473083E+01
9.248614125E+00  6.516845703E+01
9.255189748E+00  6.240441513E+01
9.261765372E+00  5.843689728E+01
9.268340995E+00  5.649933624E+01
9.274916618E+00  5.541304779E+01
9.281492241E+00  5.500228119E+01
9.288067865E+00  5.520847321E+01
9.294643488E+00  5.447891617E+01
9.301219111E+00  5.254898834E+01
9.307794734E+00  5.074000549E+01
9.314370358E+00  4.911009979E+01
9.320945981E+00  4.945812225E+01
9.327521604E+00  4.975138474E+01
9.334097227E+00  5.078433609E+01
9.340672851E+00  5.267272568E+01
9.347248474E+00  5.646931076E+01
9.353824097E+00  6.204471588E+01
9.360399721E+00  6.774369049E+01
9.366975344E+00  7.567610931E+01
9.373550967E+00  8.357198334E+01
9.380126590E+00  9.302068329E+01
9.386702214E+00  1.041345291E+02
9.393277837E+00  1.198261414E+02
9.399853460E+00  1.373928986E+02
9.406429083E+00  1.599510345E+02
9.413004707E+00  1.868809204E+02
9.419580330E+00  2.203964691E+02
9.426155953E+00  2.644952393E+02
9.432731576E+00  3.211084290E+02
9.439307200E+00  3.867208862E+02
9.445882823E+00  4.600699463E+02
9.452458446E+00  5.361341553E+02
9.459034070E+00  5.992801514E+02
9.465609693E+00  6.395852661E+02
9.472185316E+00  6.573872070E+02
9.478760939E+00  6.596676025E+02
9.485336563E+00  6.526944580E+02
9.491912186E+00  6.141983032E+02
9.498487809E+00  5.634481201E+02
9.505063432E+00  5.002492065E+02
9.511639056E+00  4.463251343E+02
9.518214679E+00  3.963560791E+02
9.524790302E+00  3.499383240E+02
9.531365925E+00  3.086963501E+02
9.537941549E+00  2.733161926E+02
9.544517172E+00  2.404795380E+02
9.551092795E+00  2.181409607E+02
9.557668419E+00  1.972008820E+02
9.564244042E+00  1.822095947E+02
9.570819665E+00  1.669107666E+02
9.577395288E+00  1.546706085E+02
9.583970912E+00  1.450745697E+02
9.590546535E+00  1.367862549E+02
9.597122158E+00  1.300737000E+02
9.603697781E+00  1.251625214E+02
9.610273405E+00  1.212231216E+02
9.616849028E+00  1.193717041E+02
9.623424651E+00  1.163944092E+02
9.630000274E+00  1.158102646E+02
9.636575898E+00  1.163932114E+02
9.643151521E+00  1.180782852E+02
9.649727144E+00  1.198566971E+02
9.656302768E+00  1.229813614E+02
9.662878391E+00  1.270006256E+02
9.669454014E+00  1.290809631E+02
9.676029637E+00  1.314342957E+02
9.682605261E+00  1.338945770E+02
9.689180884E+00  1.345882721E+02
9.695756507E+00  1.335861511E+02
9.702332130E+00  1.314082489E+02
9.708907754E+00  1.295037384E+02
9.715483377E+00  1.266738892E+02
9.722059000E+00  1.234274673E+02
9.728634623E+00  1.180325317E+02
9.735210247E+00  1.110515518E+02
9.741785870E+00  1.025060120E+02
9.748361493E+00  9.630847168E+01
9.754937117E+00  9.033490753E+01
9.761512740E+00  8.642562866E+01
9.768088363E+00  8.260112762E+01
9.774663986E+00  7.679204559E+01
9.781239610E+00  7.084748840E+01
9.787815233E+00  6.377477264E+01
9.794390856E+00  5.819447708E+01
9.800966479E+00  5.346108246E+01
9.807542103E+00  4.950132751E+01
9.814117726E+00  4.490211487E+01
9.820693349E+00  4.191733551E+01
9.827268972E+00  3.904794693E+01
9.833844596E+00  3.649706650E+01
9.840420219E+00  3.399660492E+01
9.846995842E+00  3.111979675E+01
9.853571466E+00  2.830607796E+01
9.860147089E+00  2.747438049E+01
9.866722712E+00  2.715300941E+01
9.873298335E+00  2.721157837E+01
9.879873959E+00  2.678923416E+01
9.886449582E+00  2.577512169E+01
9.893025205E+00  2.582205772E+01
9.899600828E+00  2.574106026E+01
9.906176452E+00  2.653260231E+01
9.912752075E+00  2.793934059E+01
9.919327698E+00  2.987971687E+01
9.925903321E+00  3.256415939E+01
9.932478945E+00  3.562985992E+01
9.939054568E+00  3.883509064E+01
9.945630191E+00  4.293667221E+01
9.952205815E+00  4.636914825E+01
9.958781438E+00  5.113542938E+01
9.965357061E+00  5.495228195E+01
9.971932684E+00  5.970347214E+01
9.978508308E+00  6.485576630E+01
9.985083931E+00  6.937251282E+01
9.991659554E+00  7.382302094E+01
9.998235177E+00  7.912767029E+01
1.000481080E+01  8.519023895E+01
1.001138642E+01  9.154241943E+01
1.001796205E+01  9.916758728E+01
1.002453767E+01  1.072644272E+02
1.003111329E+01  1.165233383E+02
1.003768892E+01  1.258480911E+02
1.004426454E+01  1.346771240E+02
1.005084016E+01  1.411588135E+02
1.005741579E+01  1.475465698E+02
1.006399141E+01  1.537416992E+02
1.007056703E+01  1.593740540E+02
1.007714266E+01  1.626833344E+02
1.008371828E+01  1.655737762E+02
1.009029390E+01  1.692772980E+02
1.009686953E+01  1.744774323E+02
1.010344515E+01  1.786663361E+02
1.011002077E+01  1.805817566E+02
1.011659640E+01  1.889843903E+02
1.012317202E+01  1.881862030E+02
1.012974764E+01  1.811783752E+02
1.013632327E+01  1.734130249E+02
1.014289889E+01  1.667099152E+02
1.014947451E+01  1.569752655E+02
1.015605014E+01  1.475542450E+02
1.016262576E+01  1.370269165E+02
1.016920138E+01  1.272633438E+02
1.017577701E+01  1.189246292E+02
1.018235263E+01  1.109926758E+02
1.018892825E+01  1.028395157E+02
1.019550388E+01  9.441189575E+01
1.020207950E+01  8.634455872E+01
1.020865512E+01  7.991919708E+01
1.021523075E+01  7.379546356E+01
1.022180637E+01  6.761833954E+01
1.022838199E+01  6.146886063E+01
1.023495762E+01  5.635041428E+01
1.024153324E+01  5.325076675E+01
1.024810886E+01  5.044381714E+01
1.025468448E+01  4.750424957E+01
1.026126011E+01  4.510147095E+01
1.026783573E+01  4.333702087E+01
1.027441135E+01  4.226604462E+01
1.028098698E+01  4.124448013E+01
1.028756260E+01  4.131135941E+01
1.029413822E+01  3.993882751E+01
1.030071385E+01  3.903847885E+01
1.030728947E+01  3.861125946E+01
1.031386509E+01  3.800968552E+01
1.032044072E+01  3.704231644E+01
1.032701634E+01  3.611684418E+01
1.033359196E+01  3.663996887E+01
1.034016759E+01  3.755306625E+01
1.034674321E+01  3.856753159E+01
1.035331883E+01  3.992014313E+01
1.035989446E+01  4.180374146E+01
1.036647008E+01  4.267873001E+01
1.037304570E+01  4.181069946E+01
1.037962133E+01  3.977333832E+01
1.038619695E+01  3.816913986E+01
1.039277257E+01  3.713527679E+01
1.039934820E+01  3.688849640E+01
1.040592382E+01  3.613675690E+01
1.041249944E+01  3.451038742E+01
1.041907507E+01  3.388970566E+01
1.042565069E+01  3.373169708E+01
1.043222631E+01  3.299431610E+01
1.043880194E+01  3.145778847E+01
1.044537756E+01  2.987743187E+01
1.045195318E+01  2.861061287E+01
1.045852881E+01  2.844292831E+01
1.046510443E+01  2.801152992E+01
1.047168005E+01  2.823335457E+01
1.047825568E+01  2.766597176E+01
1.048483130E+01  2.670092773E+01
1.049140692E+01  2.553592491E+01
1.049798255E+01  2.377247620E+01
1.050455817E+01  2.153650856E+01
1.051113379E+01  1.901498413E+01
1.051770942E+01  1.796908569E+01
1.052428504E+01  1.772200966E+01
1.053086066E+01  1.580447388E+01
1.053743629E+01  1.315051651E+01
1.054401191E+01  1.247006035E+01
1.055058753E+01  1.154528999E+01
1.055716316E+01  1.047822189E+01
1.056373878E+01  9.115988731E+00
1.057031440E+01  1.009771729E+01
1.057689002E+01  1.135648346E+01
1.058346565E+01  1.269353008E+01
1.059004127E+01  1.440277481E+01
1.059661689E+01  1.666290474E+01
1.060319252E+01  1.719021034E+01
